customer_id,avg_txn_amount,std_txn_amount,total_spend_30d,txn_frequency_30d,night_txn_ratio,weekend_txn_ratio,unique_merchants,unique_categories,avg_geo_distance,high_risk_category_ratio,max_single_txn,segment,segment_label,dbscan_cluster,is_outlier_customer
CUST_002G3YU6,9691.334825174825,6007.333239469959,1385860.88,143,0.09090909090909091,0.32867132867132864,125,18,3.648898010051954,0.1048951048951049,32866.26,1,High-frequency everyday,-1,1
CUST_00IV1GGX,472.9764978902953,323.775348465105,112095.43,237,0.05063291139240506,0.3291139240506329,192,18,3.8932680075365695,0.12236286919831224,2156.42,1,High-frequency everyday,-1,1
CUST_012GRDMT,13494.728554913296,8497.99273915664,2334588.04,173,0.09826589595375723,0.23121387283236994,151,18,6.026798939163911,0.11560693641618497,70457.72,1,High-frequency everyday,-1,1
CUST_035N8CQP,4574.661285714285,3211.777087261848,640452.58,140,0.07142857142857142,0.25,125,18,3.7943343739270703,0.1,25608.89,1,High-frequency everyday,0,0
CUST_049ENULQ,6983.898407643313,4554.235563442141,1096472.05,157,0.05732484076433121,0.2356687898089172,130,17,4.006930972142815,0.06369426751592357,29246.37,1,High-frequency everyday,1,0
CUST_04YGYFLQ,5359.124814814814,3060.501038671973,289392.74,54,0.05555555555555555,0.3333333333333333,50,14,3.245126366883965,0.05555555555555555,14389.69,0,Low-value standard,-1,1
CUST_05802XVX,13623.153265306122,7971.0667951391415,2670138.04,196,0.0663265306122449,0.25,160,17,3.442454512997237,0.05612244897959184,39284.55,1,High-frequency everyday,-1,1
CUST_05SORHTM,16206.989197530864,11874.89270196949,2625532.25,162,0.08024691358024691,0.25308641975308643,138,17,3.5340496124905476,0.08024691358024691,74686.82,1,High-frequency everyday,-1,1
CUST_06FTLO4Q,5962.1890883494225,4530.336983780973,1210324.3849349327,203,0.06403940886699508,0.2315270935960591,168,18,3.5926395292367985,0.07881773399014778,36864.13,1,High-frequency everyday,0,0
CUST_06WPX2CY,3773.9928185328185,2507.916727866337,977464.14,259,0.09266409266409266,0.27413127413127414,202,18,3.6376657680860625,0.06177606177606178,14442.98,4,High-risk irregular,0,0
CUST_06ZXUNHU,692.3562376237624,3803.7393241159025,69927.98,101,0.06930693069306931,0.32673267326732675,93,16,12.783712336930968,0.09900990099009901,38477.34,3,Dormant / infrequent,-1,1
CUST_07BTI1RI,6637.648383838383,3444.68105981088,657127.19,99,0.04040404040404041,0.25252525252525254,91,17,3.676972352743986,0.0707070707070707,16647.66,0,Low-value standard,-1,1
CUST_07K5W1JL,1332.33063670412,1557.3544570103154,355732.28,267,0.07116104868913857,0.30337078651685395,201,18,7.7145476608782,0.0599250936329588,22691.14,4,High-risk irregular,-1,1
CUST_07V882O8,3859.3999103139017,2562.0795620347917,860646.18,223,0.04035874439461883,0.31390134529147984,173,17,3.671911742415876,0.08071748878923767,15869.64,1,High-frequency everyday,-1,1
CUST_08J3TRP0,1763.591981981982,1059.9868487690349,195758.71,111,0.07207207207207207,0.2702702702702703,102,16,3.771927542089365,0.07207207207207207,7159.18,0,Low-value standard,-1,1
CUST_08YG0JV1,5874.075585585586,5192.894482883262,652022.39,111,0.09009009009009009,0.3333333333333333,103,15,3.6833742292270593,0.07207207207207207,47891.11,0,Low-value standard,-1,1
CUST_0AOBT328,7051.411560693641,23896.760801485998,1219894.2,173,0.09248554913294797,0.32947976878612717,150,18,10.03717853400825,0.11560693641618497,316875.73,3,Dormant / infrequent,-1,1
CUST_0ATVZKHI,42248.91594827586,24143.087234770483,4900874.25,116,0.07758620689655173,0.3103448275862069,100,18,10.533910046424193,0.08620689655172414,143566.3,3,Dormant / infrequent,-1,1
CUST_0B8IC8BB,7090.186028708134,4960.873318453928,1481848.88,209,0.06220095693779904,0.3014354066985646,159,17,10.100423132930738,0.05263157894736842,51815.78,3,Dormant / infrequent,-1,1
CUST_0BN85P3E,3499.2677049180325,1934.9551492351736,426910.66,122,0.11475409836065574,0.1557377049180328,105,17,3.6640412312976576,0.09836065573770492,10645.91,1,High-frequency everyday,-1,1
CUST_0DL7U1P8,1192.768795180723,8519.400464834245,197999.62,166,0.08433734939759036,0.3072289156626506,130,18,5.1848716689908905,0.10843373493975904,110202.25,1,High-frequency everyday,-1,1
CUST_0HWOBM3H,41650.95353846154,31450.38583505696,2707311.98,65,0.07692307692307693,0.26153846153846155,61,16,3.8283842870742872,0.07692307692307693,165978.25,0,Low-value standard,-1,1
CUST_0IAAKYTT,1088.1129292929293,702.9207291116126,107723.18,99,0.13131313131313133,0.1919191919191919,86,17,3.9852361842757387,0.09090909090909091,4090.6,1,High-frequency everyday,-1,1
CUST_0ICFMQ0Y,6429.683163265306,15927.085590646475,630108.95,98,0.05102040816326531,0.25510204081632654,91,17,12.558844166419632,0.061224489795918366,159687.23,3,Dormant / infrequent,-1,1
CUST_0J36TCFK,6673.8883458646615,4789.977828787681,887627.15,133,0.09774436090225563,0.23308270676691728,120,18,4.0838426664769685,0.08270676691729323,29122.38,1,High-frequency everyday,0,0
CUST_0KGAZU41,4009.4965799256506,2609.154873572716,1078554.58,269,0.09665427509293681,0.34572490706319703,204,17,4.022995072999321,0.07806691449814127,21857.63,4,High-risk irregular,-1,1
CUST_0LDALMJE,2292.603485714286,1631.3189057035609,802411.22,350,0.09428571428571429,0.24,252,18,6.012240429803439,0.07714285714285714,16842.93,4,High-risk irregular,-1,1
CUST_0LDOZY2N,25922.58096875,18994.06845620444,8295225.91,320,0.059375,0.23125,237,18,3.9233116511215065,0.125,197326.41,4,High-risk irregular,-1,1
CUST_0LJC6WO7,4973.390266666667,3593.843475319226,1119012.81,225,0.10666666666666667,0.28444444444444444,174,18,3.7067741560350838,0.08444444444444445,31432.09,4,High-risk irregular,0,0
CUST_0MFTG698,23144.58271186441,13675.997823264968,2731060.7600000002,118,0.07627118644067797,0.211864406779661,105,18,4.089500074630139,0.1016949152542373,82789.53,1,High-frequency everyday,-1,1
CUST_0MGOQMK3,6816.989411764706,4632.564726273781,463555.28,68,0.07352941176470588,0.29411764705882354,64,17,3.761598647524353,0.08823529411764706,26977.36,0,Low-value standard,-1,1
CUST_0NWRN57L,1052.8433333333332,667.6532852110497,63170.6,60,0.11666666666666667,0.26666666666666666,57,14,3.6356743118426595,0.05,3688.52,0,Low-value standard,-1,1
CUST_0PKBO549,15008.518897058824,11469.449271329217,4082317.14,272,0.10661764705882353,0.2610294117647059,210,18,7.151915389446409,0.07720588235294118,145260.38,4,High-risk irregular,-1,1
CUST_0QRAQIK3,4640.013569620252,3004.1526297485348,1832805.3599999999,395,0.09620253164556962,0.25569620253164554,276,18,3.7746674614420317,0.07848101265822785,22123.59,4,High-risk irregular,-1,1
CUST_0RWRNBFZ,4467.619423076923,15038.340035310455,232316.21,52,0.11538461538461539,0.28846153846153844,50,16,18.126119218581113,0.07692307692307693,110217.51,3,Dormant / infrequent,-1,1
CUST_0SQG4EIJ,1425.4635398230087,10377.376174070843,322154.75999999995,226,0.08849557522123894,0.26548672566371684,180,18,8.921118325100517,0.07079646017699115,156542.71,3,Dormant / infrequent,-1,1
CUST_0U92T24D,4410.217533039648,3002.49991300201,1001119.38,227,0.07048458149779736,0.2555066079295154,185,18,3.6988129384613413,0.07488986784140969,19061.39,4,High-risk irregular,0,0
CUST_0VYHFJLW,5965.886274509804,3839.6853568204547,912780.6,153,0.10457516339869281,0.24836601307189543,134,17,3.707337049866587,0.1111111111111111,21188.03,1,High-frequency everyday,-1,1
CUST_0WBGLMY6,2795.8756521739133,1746.8710577229879,192915.42,69,0.10144927536231885,0.2898550724637681,63,17,3.403690512439082,0.14492753623188406,8206.09,1,High-frequency everyday,-1,1
CUST_0WF1HWJH,5231.910616113743,3731.477134814818,1103933.14,211,0.08056872037914692,0.3127962085308057,166,18,8.266981836296033,0.09004739336492891,35002.41,1,High-frequency everyday,-1,1
CUST_0XI5BJ5D,9474.34211382114,6212.484278482235,1165344.08,123,0.056910569105691054,0.2764227642276423,107,18,3.736940423924932,0.0975609756097561,44159.23,1,High-frequency everyday,-1,1
CUST_0Y8JWVHP,2181.1074193548384,1318.3687968672891,405685.98,186,0.0913978494623656,0.27956989247311825,161,17,3.9052129315544337,0.07526881720430108,7338.33,1,High-frequency everyday,-1,1
CUST_0YU3U8IZ,20806.720666666664,13799.795723248058,2184705.67,105,0.09523809523809523,0.2571428571428571,93,17,3.9770709688915056,0.0380952380952381,96741.54,0,Low-value standard,-1,1
CUST_0Z92JN67,2055.4691869918697,8408.25785942359,505645.42,246,0.06910569105691057,0.2073170731707317,197,18,12.07997254731959,0.08943089430894309,117905.78,3,Dormant / infrequent,-1,1
CUST_10BAF4JG,2593.347142857143,1933.6780280942485,726137.2,280,0.07857142857142857,0.2857142857142857,217,18,3.9022142840632488,0.075,20695.4,4,High-risk irregular,0,0
CUST_10C9IX6R,11819.191627334483,9071.52529947102,1820155.5106095104,154,0.05844155844155844,0.2662337662337662,125,16,3.5852508630690925,0.07792207792207792,60306.51,0,Low-value standard,-1,1
